"_v","_u"
-3.78,-2.16
-3.78,-2.088
-3.78,-2.016
-3.78,-1.944
-3.78,-1.872
-3.78,-1.8
-3.78,-1.728
-3.78,-1.656
-3.78,-1.584
-3.78,-1.512
-3.78,-1.44
-3.78,-1.368
-3.78,-1.296
-3.78,-1.224
-3.78,-1.152
-3.78,-1.08
-3.78,-1.008
-3.78,-0.936
-3.78,-0.864
-3.78,-0.792
-3.78,-0.72
-3.78,-0.648
-3.78,-0.576
-3.78,-0.504
-3.78,-0.432
-3.78,-0.36
-3.78,-0.288
-3.78,-0.216
-3.78,-0.144
-3.78,-0.072
-3.78,0
-3.78,0.072
-3.78,0.144
-3.78,0.216
-3.78,0.288
-3.78,0.36
-3.78,0.432
-3.78,0.504
-3.78,0.576
-3.78,0.648
-3.78,0.72
-3.78,0.792
-3.78,0.864
-3.78,0.936
-3.78,1.008
-3.78,1.08
-3.78,1.152
-3.78,1.224
-3.78,1.296
-3.78,1.368
-3.78,1.44
-3.78,1.512
-3.78,1.584
-3.78,1.656
-3.78,1.728
-3.78,1.8
-3.78,1.872
-3.78,1.944
-3.78,2.016
-3.78,2.088
-3.78,2.16
-3.78,2.232
-3.78,2.304
-3.78,2.376
-3.78,2.448
-3.78,2.52
-3.78,2.592
-3.78,2.664
-3.78,2.736
-3.78,2.808
-3.78,2.88
-3.78,2.952
-3.78,3.024
-3.78,3.096
-3.78,3.168
-3.78,3.24
-3.78,3.312
-3.78,3.384
-3.78,3.456
-3.78,3.528
-3.78,3.6
-3.69,-3.6
-3.69,-3.528
-3.69,-3.456
-3.69,-3.384
-3.69,-3.312
-3.69,-3.24
-3.69,-3.168
-3.69,-3.096
-3.69,-3.024
-3.69,-2.952
-3.69,-2.88
-3.69,-2.808
-3.69,-2.736
-3.69,-2.664
-3.69,-2.592
-3.69,-2.52
-3.69,-2.448
-3.69,-2.376
-3.69,-2.304
-3.69,-2.232
-3.69,-2.16
-3.69,-2.088
-3.69,-2.016
-3.69,-1.944
-3.69,-1.872
-3.69,-1.8
-3.69,-1.728
-3.69,-1.656
-3.69,-1.584
-3.69,-1.512
-3.69,-1.44
-3.69,-1.368
-3.69,-1.296
-3.69,-1.224
-3.69,-1.152
-3.69,-1.08
-3.69,-1.008
-3.69,-0.936
-3.69,-0.864
-3.69,-0.792
-3.69,-0.72
-3.69,-0.648
-3.69,-0.576
-3.69,-0.504
-3.69,-0.432
-3.69,-0.36
-3.69,-0.288
-3.69,-0.216
-3.69,-0.144
-3.69,-0.072
-3.69,0
-3.69,0.072
-3.69,0.144
-3.69,0.216
-3.69,0.288
-3.69,0.36
-3.69,0.432
-3.69,0.504
-3.69,0.576
-3.69,0.648
-3.69,0.72
-3.69,0.792
-3.69,0.864
-3.69,0.936
-3.69,1.008
-3.69,1.08
-3.69,1.152
-3.69,1.224
-3.69,1.296
-3.69,1.368
-3.69,1.44
-3.69,1.512
-3.69,1.584
-3.69,1.656
-3.69,1.728
-3.69,1.8
-3.69,1.872
-3.69,1.944
-3.69,2.016
-3.69,2.088
-3.69,2.16
-3.69,2.232
-3.69,2.304
-3.69,2.376
-3.69,2.448
-3.69,2.52
-3.69,2.592
-3.69,2.664
-3.69,2.736
-3.69,2.808
-3.69,2.88
-3.69,2.952
-3.69,3.024
-3.69,3.096
-3.69,3.168
-3.69,3.24
